WalletActionId,UserProfileId,Type,TypeSysname,Amount,MethodSysname,Created
29258924,1505872,1,DEPOSIT,25.00,PSCPaysafeCard,2021-10-11 13:20:22.563
29259209,1513760,1,DEPOSIT,100.00,VisaCard,2021-10-11 13:24:48.627
29259491,1546908,1,DEPOSIT,5.00,VisaCard,2021-10-11 13:28:07.387
29260046,1513760,1,DEPOSIT,67.00,VisaCard,2021-10-11 13:36:35.233
29260156,1546908,1,DEPOSIT,5.00,VisaCard,2021-10-11 13:38:01.243
29260486,1546908,1,DEPOSIT,5.00,VisaCard,2021-10-11 13:43:17.603
29260556,1548536,1,DEPOSIT,25.00,VisaCard,2021-10-11 13:44:31.967
29260609,1554447,1,DEPOSIT,50.00,VisaCard,2021-10-11 13:45:30.483
29261206,1548536,1,DEPOSIT,25.00,VisaCard,2021-10-11 13:54:37.310
29261787,1527981,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 14:03:40.457
29264070,1510390,1,DEPOSIT,10.00,VisaCard,2021-10-11 14:37:22.703
29264538,1554452,1,DEPOSIT,20.00,VisaCard,2021-10-11 14:44:00.747
29265631,1529236,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 15:01:31.293
29266747,1504107,1,DEPOSIT,10.00,VisaCard,2021-10-11 15:19:28.027
29267767,1522816,1,DEPOSIT,20.00,PSCPaysafeCard,2021-10-11 15:35:18.200
29267773,1543305,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 15:35:26.570
29268555,1510390,1,DEPOSIT,10.00,VisaCard,2021-10-11 15:45:52.667
29268767,1554552,1,DEPOSIT,20.00,VisaCard,2021-10-11 15:48:30.610
29269729,1530737,1,DEPOSIT,300.00,VisaCard,2021-10-11 16:03:45.083
29236102,1511260,2,WITHDRAW,-30.00,VisaCard,2021-10-11 16:05:33.447
29236219,1511260,2,WITHDRAW,-40.00,VisaCard,2021-10-11 16:05:39.173
29254468,1513708,2,WITHDRAW,-10.06,VisaCard,2021-10-11 16:07:38.347
29251027,1513708,2,WITHDRAW,-10.00,VisaCard,2021-10-11 16:09:28.593
29270945,1554586,1,DEPOSIT,500.00,VisaCard,2021-10-11 16:22:35.733
29270947,1548536,1,DEPOSIT,25.00,VisaCard,2021-10-11 16:22:36.673
29220191,1513043,1,DEPOSIT,100.00,VisaCard,2021-10-10 19:16:57.710
29220293,1518098,1,DEPOSIT,50.00,PSCPaysafeCard,2021-10-10 19:18:58.077
29220556,1524315,1,DEPOSIT,10.00,PayPal,2021-10-10 19:23:22.477
29221302,1540535,1,DEPOSIT,200.00,PSCPaysafeCard,2021-10-10 19:35:40.583
29221366,1519978,1,DEPOSIT,10.00,VisaCard,2021-10-10 19:36:39.767
29221598,1513043,1,DEPOSIT,100.00,VisaCard,2021-10-10 19:40:03.890
29203615,1552744,2,WITHDRAW,-64.20,VisaCard,2021-10-10 19:50:40.680
29222310,1515544,1,DEPOSIT,50.00,VisaCard,2021-10-10 19:52:00.033
29223123,1542726,1,DEPOSIT,5.00,VisaCard,2021-10-10 20:04:15.583
29224160,1522853,1,DEPOSIT,5.00,VisaCard,2021-10-10 20:19:43.700
29225083,1542516,1,DEPOSIT,20.00,VisaCard,2021-10-10 20:33:58.483
29225213,1546653,1,DEPOSIT,10.00,VisaCard,2021-10-10 20:35:05.437
29221707,1520982,2,WITHDRAW,-300.00,VisaCard,2021-10-10 20:38:52.317
29222908,1547865,2,WITHDRAW,-50.00,VisaCard,2021-10-10 20:44:10.800
29226365,1542516,1,DEPOSIT,30.00,VisaCard,2021-10-10 20:48:22.520
29226388,1540535,1,DEPOSIT,300.00,PSCPaysafeCard,2021-10-10 20:48:40.400
29227751,1520982,1,DEPOSIT,50.00,VisaCard,2021-10-10 21:08:26.610
29228063,1515919,1,DEPOSIT,10.00,VisaCard,2021-10-10 21:13:38.547
29228861,1540535,1,DEPOSIT,300.00,PSCPaysafeCard,2021-10-10 21:29:28.800
29229351,1539232,1,DEPOSIT,10.00,PayPal,2021-10-10 21:39:05.400
29229551,1534520,1,DEPOSIT,24.00,DIASDTM,2021-10-10 21:42:25.807
29230936,1547563,1,DEPOSIT,10.00,VisaCard,2021-10-10 22:02:38.470
29231899,1547563,1,DEPOSIT,5.00,VisaCard,2021-10-10 22:19:18.763
29233158,1545098,1,DEPOSIT,300.00,VisaCard,2021-10-10 22:56:17.553
29233416,1540535,1,DEPOSIT,300.00,PSCPaysafeCard,2021-10-10 23:04:39.143
29234020,1545098,1,DEPOSIT,200.00,VisaCard,2021-10-10 23:29:52.140
29238360,1508723,1,DEPOSIT,20.00,VisaCard,2021-10-11 05:31:01.613
29238382,1549393,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 05:32:09.030
29239986,1508807,1,DEPOSIT,18.00,VisaCard,2021-10-11 06:49:13.493
29240280,1519756,1,DEPOSIT,10.00,VisaCard,2021-10-11 07:01:28.610
29240386,1529531,1,DEPOSIT,10.00,VisaCard,2021-10-11 07:06:00.320
29241322,1550631,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 07:22:26.797
29241522,1541512,1,DEPOSIT,7.63,VisaCard,2021-10-11 07:29:43.743
29241674,1508723,1,DEPOSIT,30.00,VisaCard,2021-10-11 07:35:15.637
29243766,1548214,1,DEPOSIT,7.00,VisaCard,2021-10-11 08:32:17.913
29244059,1543546,1,DEPOSIT,10.00,VisaCard,2021-10-11 08:40:23.780
29244824,1517121,1,DEPOSIT,6.00,VisaCard,2021-10-11 08:59:50.223
29245126,1534914,1,DEPOSIT,20.00,PSCPaysafeCard,2021-10-11 09:07:35.180
29234411,1520982,2,WITHDRAW,-300.00,VisaCard,2021-10-11 09:33:16.250
29223838,1522890,2,WITHDRAW,-350.00,VisaCard,2021-10-11 09:35:58.250
29247195,1543646,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 09:55:41.477
29247538,1547924,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 10:03:56.950
29248103,1508583,1,DEPOSIT,10.00,VisaCard,2021-10-11 10:16:29.173
29209299,1515544,2,WITHDRAW,-130.01,VisaCard,2021-10-11 10:25:20.740
29236109,1520982,2,WITHDRAW,-200.00,VisaCard,2021-10-11 10:25:11.200
29249306,1528527,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 10:44:16.660
29247078,1508723,2,WITHDRAW,-100.00,VisaCard,2021-10-11 10:44:54.717
29250221,1540396,1,DEPOSIT,5.00,VisaCard,2021-10-11 11:00:26.613
29250543,1528527,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 11:05:21.287
29251693,1548919,1,DEPOSIT,1.02,DIASDTM,2021-10-11 11:23:58.370
29251913,1507553,1,DEPOSIT,200.00,VisaCard,2021-10-11 11:28:02.500
29241396,1529531,2,WITHDRAW,-30.00,VisaCard,2021-10-11 11:30:09.010
29252553,1540535,1,DEPOSIT,50.00,PSCPaysafeCard,2021-10-11 11:38:59.707
29253755,1520982,1,DEPOSIT,50.00,VisaCard,2021-10-11 11:55:40.683
29228519,1515919,2,WITHDRAW,-10.00,VisaCard,2021-10-11 12:21:31.137
29256037,1508071,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 12:34:39.853
29256478,1542726,1,DEPOSIT,10.00,VisaCard,2021-10-11 12:41:38.370
29256522,1526842,1,DEPOSIT,20.00,VisaCard,2021-10-11 12:42:18.023
29256822,1548460,1,DEPOSIT,10.00,VisaCard,2021-10-11 12:47:44.363
29256901,1549127,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 12:49:24.110
29256989,1505758,1,DEPOSIT,40.00,VisaCard,2021-10-11 12:50:54.777
29257129,1542726,1,DEPOSIT,20.00,VisaCard,2021-10-11 12:53:07.810
29244643,1543546,2,WITHDRAW,-10.00,VisaCard,2021-10-11 12:53:01.383
28626188,1545098,2,WITHDRAW,-4000.00,VisaCard,2021-10-11 13:05:01.353
28696017,1545098,2,WITHDRAW,-504.70,VisaCard,2021-10-11 13:05:04.890
28768992,1545098,2,WITHDRAW,-50.00,VisaCard,2021-10-11 13:05:09.323
29258577,1511547,1,DEPOSIT,20.00,VisaCard,2021-10-11 13:15:37.860
29258757,1505758,1,DEPOSIT,40.00,VisaCard,2021-10-11 13:18:09.583
29259109,1551017,1,DEPOSIT,10.00,DIASMyBank,2021-10-11 13:23:14.090
29259217,1520982,1,DEPOSIT,50.00,VisaCard,2021-10-11 13:24:56.563
29260279,1526842,1,DEPOSIT,35.00,VisaCard,2021-10-11 13:39:41.320
29261441,1531269,1,DEPOSIT,20.00,PSCPaysafeCard,2021-10-11 13:58:15.613
29259582,1505758,2,WITHDRAW,-100.00,VisaCard,2021-10-11 13:59:37.500
29261895,1522890,1,DEPOSIT,50.00,VisaCard,2021-10-11 14:05:17.857
29262728,1516293,1,DEPOSIT,20.00,VisaCard,2021-10-11 14:18:54.597
29262742,1520982,1,DEPOSIT,50.00,VisaCard,2021-10-11 14:19:01.660
29234961,1542641,2,WITHDRAW,-300.00,VisaCard,2021-10-11 14:25:28.473
29263874,1520982,1,DEPOSIT,50.00,VisaCard,2021-10-11 14:34:53.427
29264912,1548460,1,DEPOSIT,20.00,VisaCard,2021-10-11 14:49:52.327
29265600,1510804,1,DEPOSIT,10.00,VisaCard,2021-10-11 15:01:03.307
29268010,1551017,1,DEPOSIT,10.00,DIASMyBank,2021-10-11 15:38:43.187
29269817,1533937,1,DEPOSIT,5.00,VisaCard,2021-10-11 16:05:08.497
29270269,1536326,1,DEPOSIT,5.00,VisaCard,2021-10-11 16:12:19.220
29270755,1549393,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 16:19:41.357
29271476,1533937,1,DEPOSIT,5.00,VisaCard,2021-10-11 16:30:37.117
29272154,1546421,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 16:41:18.623
29272449,1545265,1,DEPOSIT,5.00,VisaCard,2021-10-11 16:46:04.923
29273365,1539099,1,DEPOSIT,150.00,VisaCard,2021-10-11 17:00:25.207
29274456,1508723,1,DEPOSIT,25.00,VisaCard,2021-10-11 17:11:53.947
29274955,1554625,1,DEPOSIT,150.00,VisaCard,2021-10-11 17:18:38.217
29255367,1534914,2,WITHDRAW,-250.00,Envoy,2021-10-11 17:29:27.627
29276170,1536326,1,DEPOSIT,5.00,VisaCard,2021-10-11 17:32:50.777
29276285,1534480,1,DEPOSIT,5.00,VisaCard,2021-10-11 17:34:05.860
29276369,1554625,1,DEPOSIT,350.00,VisaCard,2021-10-11 17:34:53.893
29276766,1534914,1,DEPOSIT,25.00,VisaCard,2021-10-11 17:39:34.497
29275566,1508723,2,WITHDRAW,-35.00,VisaCard,2021-10-11 17:49:54.370
29277702,1526473,1,DEPOSIT,4.00,DIASMyBank,2021-10-11 17:51:14.683
29278357,1535608,1,DEPOSIT,65.00,VisaCard,2021-10-11 17:59:26.443
29221701,1521351,1,DEPOSIT,10.00,VisaCard,2021-10-10 19:41:54.897
29222293,1506410,2,WITHDRAW,-30.00,VisaCard,2021-10-10 20:01:00.533
29224048,1533860,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 20:17:42.077
29221741,1539733,2,WITHDRAW,-60.00,Envoy,2021-10-10 20:22:16.270
29225071,1536925,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 20:33:48.000
29224734,1518535,2,WITHDRAW,-250.00,VisaCard,2021-10-10 20:47:05.853
29227325,1545584,2,WITHDRAW,-230.00,VisaCard,2021-10-10 21:14:51.690
29228417,1536557,1,DEPOSIT,35.00,VisaCard,2021-10-10 21:20:44.853
29224709,1539733,2,WITHDRAW,-70.00,Envoy,2021-10-10 21:22:12.927
29228604,1542115,1,DEPOSIT,80.00,VisaCard,2021-10-10 21:24:14.513
29229448,1552084,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 21:40:54.217
29230716,1529667,1,DEPOSIT,1.10,DIASDTM,2021-10-10 21:59:27.720
29231358,1542115,1,DEPOSIT,60.00,VisaCard,2021-10-10 22:09:32.240
29226349,1511776,2,WITHDRAW,-50.00,Envoy,2021-10-10 22:53:03.743
29233606,1508124,1,DEPOSIT,10.00,VisaCard,2021-10-10 23:11:51.907
29233687,1542115,1,DEPOSIT,60.00,VisaCard,2021-10-10 23:14:34.213
29233945,1542115,1,DEPOSIT,40.00,VisaCard,2021-10-10 23:26:22.530
29234067,1545159,1,DEPOSIT,20.00,VisaCard,2021-10-10 23:31:52.070
29234068,1508634,1,DEPOSIT,50.00,VisaCard,2021-10-10 23:31:56.827
29234582,1550715,1,DEPOSIT,29.00,VisaCard,2021-10-10 23:55:03.730
29234841,1545159,1,DEPOSIT,40.00,VisaCard,2021-10-11 00:06:18.350
29235263,1550715,1,DEPOSIT,20.00,VisaCard,2021-10-11 00:30:06.777
29235369,1512926,1,DEPOSIT,19.99,VisaCard,2021-10-11 00:37:37.823
29235567,1512926,1,DEPOSIT,15.00,VisaCard,2021-10-11 00:51:53.640
29235842,1512926,1,DEPOSIT,15.00,VisaCard,2021-10-11 01:13:04.007
29236168,1550715,1,DEPOSIT,13.00,VisaCard,2021-10-11 01:47:32.187
29236170,1550715,1,DEPOSIT,13.00,VisaCard,2021-10-11 01:47:49.377
29236175,1550715,1,DEPOSIT,13.00,VisaCard,2021-10-11 01:48:19.567
29236178,1550715,1,DEPOSIT,13.00,VisaCard,2021-10-11 01:48:31.193
29236180,1550715,1,DEPOSIT,13.00,VisaCard,2021-10-11 01:48:42.820
29238198,1511776,1,DEPOSIT,30.00,DIASDTM,2021-10-11 05:21:17.027
29238267,1548694,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 05:25:43.990
29239553,1538874,1,DEPOSIT,20.00,VisaCard,2021-10-11 06:31:23.090
29240890,1538874,1,DEPOSIT,20.00,VisaCard,2021-10-11 07:09:45.273
29239401,1539733,2,WITHDRAW,-60.00,Envoy,2021-10-11 07:16:21.557
29240385,1539733,2,WITHDRAW,-60.00,Envoy,2021-10-11 07:16:24.403
29241715,1522017,1,DEPOSIT,1.54,DIASDTM,2021-10-11 07:36:36.133
29242030,1537821,1,DEPOSIT,20.00,VisaCard,2021-10-11 07:43:21.093
29243168,1553397,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 08:14:39.837
29185360,1552955,2,WITHDRAW,-24.50,VisaCard,2021-10-11 08:19:36.013
29244028,1510946,1,DEPOSIT,150.00,VisaCard,2021-10-11 08:39:35.440
29244433,1553782,1,DEPOSIT,10.00,VisaCard,2021-10-11 08:50:05.660
29245823,1539733,1,DEPOSIT,100.00,PSCPaysafeCard,2021-10-11 09:23:00.317
29246116,1539733,1,DEPOSIT,100.00,PSCPaysafeCard,2021-10-11 09:29:45.733
29247795,1543351,1,DEPOSIT,25.00,PSCPaysafeCard,2021-10-11 10:09:59.293
29227879,1513773,2,WITHDRAW,-35.25,VisaCard,2021-10-11 10:19:39.910
29249336,1530660,1,DEPOSIT,50.00,PSCPaysafeCard,2021-10-11 10:45:07.657
29247101,1538874,2,WITHDRAW,-40.00,VisaCard,2021-10-11 10:47:36.947
29249675,1508256,1,DEPOSIT,25.00,PSCPaysafeCard,2021-10-11 10:51:21.413
29248427,1539733,2,WITHDRAW,-100.00,Envoy,2021-10-11 11:20:14.393
29237977,1512467,2,WITHDRAW,-150.00,VisaCard,2021-10-11 11:24:46.783
29252472,1550230,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 11:37:23.933
29225572,1545584,2,WITHDRAW,-600.00,VisaCard,2021-10-11 12:12:23.027
29254794,1533860,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 12:13:51.090
29255331,1513945,1,DEPOSIT,10.00,VisaCard,2021-10-11 12:23:02.440
29255508,1535423,1,DEPOSIT,20.10,PSCPaysafeCard,2021-10-11 12:25:56.573
29256704,1553397,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 12:45:25.657
29256807,1531229,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 12:47:23.260
29257734,1529667,1,DEPOSIT,2.10,DIASDTM,2021-10-11 13:02:38.083
29258699,1547187,1,DEPOSIT,200.00,VisaCard,2021-10-11 13:17:20.937
29259442,1550230,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 13:27:35.530
29259543,1531229,1,DEPOSIT,25.00,PSCPaysafeCard,2021-10-11 13:28:44.497
29260872,1533860,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 13:49:39.340
29261565,1517163,1,DEPOSIT,5.00,VisaCard,2021-10-11 14:00:15.760
29262075,1511776,1,DEPOSIT,5.00,DIASDTM,2021-10-11 14:08:26.313
29262833,1508124,1,DEPOSIT,10.00,VisaCard,2021-10-11 14:20:27.877
29263548,1528120,1,DEPOSIT,100.00,VisaCard,2021-10-11 14:30:33.797
29264081,1538874,1,DEPOSIT,30.00,VisaCard,2021-10-11 14:37:30.153
29264191,1508124,1,DEPOSIT,10.00,VisaCard,2021-10-11 14:39:06.947
29265487,1545584,1,DEPOSIT,100.00,VisaCard,2021-10-11 14:59:12.197
29265754,1554473,1,DEPOSIT,100.00,VisaCard,2021-10-11 15:03:27.567
29265963,1507061,1,DEPOSIT,20.00,PSCPaysafeCard,2021-10-11 15:06:35.573
29260599,1530660,2,WITHDRAW,-140.00,Envoy,2021-10-11 15:14:46.990
29267611,1510411,1,DEPOSIT,10.00,VisaCard,2021-10-11 15:32:47.187
29268308,1554540,1,DEPOSIT,10.00,VisaCard,2021-10-11 15:42:55.097
29268610,1525923,1,DEPOSIT,10.00,VisaCard,2021-10-11 15:46:35.233
29268955,1512467,1,DEPOSIT,25.00,PSCPaysafeCard,2021-10-11 15:51:22.223
29270501,1541582,1,DEPOSIT,20.00,VisaCard,2021-10-11 16:16:14.940
29271504,1533860,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 16:31:12.980
29273385,1520697,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 17:00:40.903
29272817,1539733,2,WITHDRAW,-200.00,Envoy,2021-10-11 17:01:07.170
29273524,1553397,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 17:02:08.287
29274482,1535939,1,DEPOSIT,20.00,VisaCard,2021-10-11 17:12:10.413
29275369,1525923,1,DEPOSIT,10.00,VisaCard,2021-10-11 17:23:52.027
29275579,1521511,1,DEPOSIT,10.00,VisaCard,2021-10-11 17:26:30.100
29275843,1510462,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 17:29:17.337
29275849,1552369,1,DEPOSIT,10.00,VisaCard,2021-10-11 17:29:21.223
29276184,1525923,1,DEPOSIT,10.00,VisaCard,2021-10-11 17:32:57.870
29276483,1506410,1,DEPOSIT,20.00,VisaCard,2021-10-11 17:36:15.200
29276600,1539733,2,WITHDRAW,-60.00,Envoy,2021-10-11 17:42:37.903
29277083,1525923,1,DEPOSIT,30.00,VisaCard,2021-10-11 17:43:08.537
29278035,1552369,1,DEPOSIT,15.00,VisaCard,2021-10-11 17:55:59.597
29278087,1506561,1,DEPOSIT,6.00,VisaCard,2021-10-11 17:56:33.753
29276809,1521511,2,WITHDRAW,-10.00,VisaCard,2021-10-11 17:57:56.983
29278545,1548694,1,DEPOSIT,5.00,PSCPaysafeCard,2021-10-11 18:01:26.837
29278588,1538874,1,DEPOSIT,40.00,VisaCard,2021-10-11 18:01:57.823
29277821,1525923,2,WITHDRAW,-40.00,VisaCard,2021-10-11 18:02:35.973
29279630,1535423,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-11 18:15:51.010
29220145,1545910,1,DEPOSIT,25.00,PSCPaysafeCard,2021-10-10 19:16:05.600
29220940,1507880,1,DEPOSIT,10.00,VisaCard,2021-10-10 19:29:38.473
29220943,1506896,1,DEPOSIT,20.00,VisaCard,2021-10-10 19:29:40.430
29221469,1537304,1,DEPOSIT,30.00,VisaCard,2021-10-10 19:38:14.577
29221674,1507880,1,DEPOSIT,40.00,VisaCard,2021-10-10 19:41:23.433
29222742,1524384,1,DEPOSIT,50.00,VisaCard,2021-10-10 19:58:54.203
29222871,1525904,1,DEPOSIT,20.00,DIASMyBank,2021-10-10 20:00:33.153
29223951,1549200,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 20:15:53.750
29225123,1525904,1,DEPOSIT,20.00,DIASMyBank,2021-10-10 20:34:23.073
29225422,1525279,1,DEPOSIT,10.00,DIASMyBank,2021-10-10 20:37:51.497
29225571,1513747,1,DEPOSIT,10.00,VisaCard,2021-10-10 20:40:17.580
29226132,1511087,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 20:45:43.640
29226291,1537304,1,DEPOSIT,5.00,VisaCard,2021-10-10 20:47:29.373
29226439,1511087,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 20:49:08.383
29229641,1505256,1,DEPOSIT,400.00,VisaCard,2021-10-10 21:43:47.707
29230607,1506896,1,DEPOSIT,20.00,VisaCard,2021-10-10 21:57:36.263
29231771,1513044,1,DEPOSIT,10.00,PSCPaysafeCard,2021-10-10 22:17:04.950
29231944,1506896,1,DEPOSIT,20.00,VisaCard,2021-10-10 22:20:45.740
29233332,1516862,1,DEPOSIT,6.00,VisaCard,2021-10-10 23:01:43.680
